職業,総数,男,女,old_title
漁業作業者,240066,184464,55602,（31）漁業作業者
漁労作業者,123170,104555,18615,122漁労作業者
船長・航海士・機関長・機関士漁労船,20230,20204,26,123船長・航海士・機関長・機関士（漁労船）
海草・貝採取作業者,22451,15496,6955,124海草・貝採取作業者
水産養殖作業者,63906,41446,22460,125水産養殖作業者
その他の漁業作業者,10309,2763,7546,126その他の漁業作業者
運輸・通信従事者,2304963,2196034,108929,H運輸・通信従事者
鉄道運転従事者,41581,41532,49,（32）鉄道運転従事者
電気・ディーゼル機関士,1334,1325,9,127電気・ディーゼル機関士
電車・気動車運転士,40247,40207,40,128電車・気動車運転士
自動車運転者,1897114,1845220,51894,（33）自動車運転者
自動車運転者,1897114,1845220,51894,129自動車運転者
船舶・航空機運転従事者,43571,43233,338,（34）船舶・航空機運転従事者
船長・航海士・運航士漁労船を除く水先人,24319,24161,158,130船長・航海士・運航士（漁労船を除く），水先人
船舶機関長・機関士漁労船を除く,12366,12218,148,131船舶機関長・機関士（漁労船を除く）
航空機操縦士航空機関士,6886,6854,32,132航空機操縦士，航空機関士
その他の運輸従事者,158447,140316,18131,（35）その他の運輸従事者
車掌,40559,24887,15672,133車掌
鉄道輸送関連業務従事者,4262,4262,-,134鉄道輸送関連業務従事者
甲板員船舶技士,16502,16245,257,135甲板員，船舶技士
船舶機関員,2756,2743,13,136船舶機関員
他に分類されない運輸従事者,94368,92179,2189,137他に分類されない運輸従事者
通信従事者,164250,125733,38517,（36）通信従事者
無線通信技術従事者,11989,11102,887,138無線通信技術従事者
有線通信員,4548,3757,791,139有線通信員
電話交換手,20942,366,20576,140電話交換手
郵便・電報外務員,120380,105116,15264,141郵便・電報外務員
その他の通信従事者,6391,5392,999,142その他の通信従事者
生産工程・労務作業者,18059022,12738495,5320527,I生産工程・労務作業者
製造・制作作業者,10892785,7182877,3709908,I-１製造・制作作業者
金属材料製造作業者,209989,193540,16449,（37）金属材料製造作業者
製銑製鋼作業者,30869,30505,364,143製銑，製鋼作業者
非鉄金属製錬作業者,15665,14992,673,144非鉄金属製錬作業者
鋳物製造作業者,38844,35536,3308,145鋳物製造作業者
鍛造作業者,13793,13440,353,146鍛造作業者
金属熱処理作業者,15164,14434,730,147金属熱処理作業者
圧延作業者,33233,32166,1067,148圧延作業者
伸線作業者,4882,4531,351,149伸線作業者
その他の金属材料製造作業者,57539,47936,9603,150その他の金属材料製造作業者
化学製品製造作業者,280812,216593,64219,（38）化学製品製造作業者
化学工,130250,115476,14774,151化学工
油脂加工作業者,4648,3728,920,152油脂加工作業者
その他の化学製品製造作業者,145914,97389,48525,153その他の化学製品製造作業者
窯業・土石製品製造作業者,298235,231865,66370,（39）窯業・土石製品製造作業者
窯業原料加工作業者,4513,3885,628,154窯業原料加工作業者
ガラス製品成形作業者,25175,21464,3711,155ガラス製品成形作業者
れんが・かわら・土管製造作業者,11000,8831,2169,156れんが・かわら・土管製造作業者
陶磁器製造作業者,45269,29956,15313,157陶磁器製造作業者
窯業絵付作業者,9573,2648,6925,158窯業絵付作業者
セメント製造作業者,5734,5436,298,159セメント製造作業者
セメント製品製造作業者,55254,48958,6296,160セメント製品製造作業者
石工,42230,38375,3855,161石工
その他の窯業・土石製品製造作業者,99487,72312,27175,162その他の窯業・土石製品製造作業者
