職業,総数,男,女,old_title
電気機械器具組立工,694600,332950,361650,175電気機械器具組立工
半導体製品製造工,36500,9430,27070,179半導体製品製造工
電球・真空管組立工,36085,15880,20205,177電球・真空管組立工
被覆電線製造工,25505,18985,6520,178被覆電線製造工
その他の電気機械器具組立・修理作業者,141655,70360,71295,180その他の電気機械器具組立・修理作業者
輸送機械組立・修理作業者,627285,604200,23085,(44)輸送機械組立・修理作業者
自動車組立工,88235,78975,9260,181自動車組立工
自動車整備工,337810,332670,5140,182自動車整備工
鉄道車両組立工・修理工,49060,48490,570,184鉄道車両組立工・修理工
船舶ぎ装工他に分類されないもの,31495,31130,365,186船舶ぎ装工(他に分類されないもの)
航空機組立工・整備工,12200,12040,160,183航空機組立工・整備工
自転車組立工・修理工,35265,30825,4440,185自転車組立工・修理工
その他の輸送機械組立・修理作業者,73220,70070,3150,187その他の輸送機械組立・修理作業者
時計・計器・光学機械器具組立・修理作業者,185175,111660,73515,(45)時計・計器・光学機械器具組立・修理作業者
時計組立工・修理工,50940,33975,16965,188時計組立工・修理工
レンズ研磨工・調整工,19205,11430,7775,189レンズ研磨工・調整工
光学機械器具組立工・修理工,30870,14865,16005,190光学機械器具組立工・修理工
計器組立工・調整工,46205,30145,16060,191計器組立工・調整工
その他の時計・計器・光学機械器具組立・修理作業者,37955,21245,16710,192その他の時計・計器・光学機械器具組立・修理作業者
製糸・紡織作業者,1111175,322430,788745,(48)製糸・紡織作業者
繰糸工,16220,1210,15010,209繰糸工
粗紡工，精紡工,104225,16295,87930,210粗紡工，精紡工
合糸工，ねん糸工，加工糸工,58965,18465,40500,211合糸工，ねん糸工，加工糸工
揚返工，かせ取工,18365,1510,16855,212揚返工，かせ取工
織機準備工,43050,14695,28355,213織機準備工
織布工,289185,62320,226865,214織布工
編物工，編立工,178545,44020,134525,217編物工，編立工
製鋼工，製網工繊維製,29705,8935,20770,218製鋼工，製網工(繊維製)
漂白工，精練工,29765,18765,11000,215漂白工，精練工
染色工,97730,69000,28730,216染色工
その他の製糸・紡織作業者,245420,67215,178205,219その他の製糸・紡織作業者
衣服・繊維製品製造作業者,1258985,251136,1007849,(49)衣服・繊維製品製造作業者
洋服仕立職,145640,94500,51140,洋服仕立職
和服仕立工,136675,3910,132765,222和服仕立工
婦人・子供服仕立工,224535,13095,211440,220婦人・子供服仕立工
ミシン縫製工,502470,69715,432755,224ミシン縫製工
裁断工,44670,25800,18870,225裁断工
刺しゅう工,32885,5015,27870,刺しゅう工
その他の衣服・繊維製品製造作業者,172110,39100,133010,226その他の衣服・繊維製品製造作業者
