職業,総数,男,女,old_title
定置機関・機械及び建設機械運転作業者,359290,357633,1657,(56)定置機関・機械及び建設機械運転作業者
機関士,43263,43222,41,268機関士
起重機・巻上機運転工,77934,77656,278,269起重機・巻上機運転工
建設機械運転工,146639,146087,552,270建設機械運転工
電気作業者,607284,600290,6994,(57)電気作業者
発電員，変電員,48355,48355,-,272発電員，変電員
電線架線工,67583,67583,-,273電線架線工
電信電話機器据付工・保守工,104879,103849,1030,274電信電話機器据付工・保守工
電気工事人,371654,366466,5188,275電気工事人
建設作業者,2855056,2727125,127931,Ｉ－６建設作業者
建設作業者,2855056,2727125,127931,(58)建設作業者
大工,734087,727387,6700,277大工
とび工,91186,90620,566,278とび工
れんが積工，タイル張工,72144,68815,3329,279れんが積工，タイル張工
屋根ふき工,35451,33216,2235,280屋根ふき工
左官,200452,191998,8454,281左官
配管工，鉛工,305777,300371,5406,282配管工，鉛工
畳工,34785,29559,5226,283畳工
土木工，舗装工,825018,756378,68640,284土木工，舗装工
鉄道線路工事作業者,30410,30410,-,285鉄道線路工事作業者
労務作業者,2857781,1689801,1167980,Ｉ－７労務作業者
運搬労務作業者,1391335,1045306,346029,(59)運搬労務作業者
船内・沿岸荷役作業者,22201,21447,754,287船内・沿岸荷役作業者
陸上荷役・運搬作業者,149909,135209,14700,288陸上荷役・運搬作業者
倉庫作業員,249763,210566,39197,289倉庫作業員
配達員,737761,549663,188098,290配達員
荷造工,231701,128421,103280,291荷造工
清掃員,580362,238656,341706,292清掃員
他に分類されない労務作業者,886084,405839,480245,293他に分類されない労務作業者
